Time                          Song // Artist
2020-08-12 15:38:39.660214    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:40.724580    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:41.783254    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:42.845243    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:43.906156    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:44.988904    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:46.061854    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:47.163363    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:48.229041    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:49.295699    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:50.381524    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:51.451308    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:52.540059    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:53.643798    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:54.703709    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:55.788065    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:56.847602    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:57.917999    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:38:59.009181    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:39:00.235191    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:39:02.826357    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:39:04.235813    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:39:05.294251    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:39:06.489863    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:39:07.640981    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:39:08.700129    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:39:09.783915    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:39:10.846427    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:39:11.920819    b'\xe5\xad\xb8\xe8\xb2\x93\xe5\x8f\xab // \xe5\xb0\x8f\xe6\xbd\x98\xe6\xbd\x98'
2020-08-12 15:39:12.996970    b'changes // XXXTENTACION'
2020-08-12 15:39:14.484373    b'changes // XXXTENTACION'
2020-08-12 15:39:15.565862    b'changes // XXXTENTACION'
2020-08-12 15:39:16.631327    b'changes // XXXTENTACION'
2020-08-12 15:39:17.722761    b'changes // XXXTENTACION'
2020-08-12 15:39:18.779638    b'changes // XXXTENTACION'
2020-08-12 15:39:19.838913    b'changes // XXXTENTACION'
2020-08-12 15:39:20.898742    b'changes // XXXTENTACION'
2020-08-12 15:39:21.962095    b'changes // XXXTENTACION'
2020-08-12 15:39:23.035754    b'changes // XXXTENTACION'
2020-08-12 15:39:24.104763    b'changes // XXXTENTACION'
2020-08-12 15:39:25.161999    b'changes // XXXTENTACION'
2020-08-12 15:39:26.230678    b'changes // XXXTENTACION'
2020-08-12 15:39:27.300763    b'changes // XXXTENTACION'
2020-08-12 15:39:28.370431    b'changes // XXXTENTACION'
2020-08-12 15:39:29.441408    b'changes // XXXTENTACION'
2020-08-12 15:39:30.507329    b'changes // XXXTENTACION'
2020-08-12 15:39:31.574525    b'changes // XXXTENTACION'
2020-08-12 15:39:32.651779    b'changes // XXXTENTACION'
2020-08-12 15:39:33.718945    b'changes // XXXTENTACION'
2020-08-12 15:39:34.782352    b'changes // XXXTENTACION'
2020-08-12 15:39:35.839808    b'changes // XXXTENTACION'
2020-08-12 15:39:36.908515    b'changes // XXXTENTACION'
2020-08-12 15:39:37.974593    b'changes // XXXTENTACION'
2020-08-12 15:39:39.041572    b'changes // XXXTENTACION'
2020-08-12 15:39:40.123939    b'changes // XXXTENTACION'
2020-08-12 15:39:41.174093    b'changes // XXXTENTACION'
2020-08-12 15:39:42.230568    b'changes // XXXTENTACION'
2020-08-12 15:39:43.292070    b'changes // XXXTENTACION'
2020-08-12 15:39:44.369935    b'changes // XXXTENTACION'
2020-08-12 15:39:45.428058    b'changes // XXXTENTACION'
2020-08-12 15:39:46.486769    b'changes // XXXTENTACION'
2020-08-12 15:39:47.556446    b'changes // XXXTENTACION'
2020-08-12 15:39:48.621513    b'changes // XXXTENTACION'
2020-08-12 15:39:49.680688    b'changes // XXXTENTACION'
2020-08-12 15:39:50.760663    b'changes // XXXTENTACION'
2020-08-12 15:39:51.819393    b'changes // XXXTENTACION'
2020-08-12 15:39:52.880714    b'changes // XXXTENTACION'
2020-08-12 15:39:53.953687    b'changes // XXXTENTACION'
2020-08-12 15:39:55.019255    b'changes // XXXTENTACION'
2020-08-12 15:39:56.084155    b'changes // XXXTENTACION'
2020-08-12 15:39:57.184801    b'changes // XXXTENTACION'
2020-08-12 15:39:58.253888    b'changes // XXXTENTACION'
2020-08-12 15:39:59.324210    b'changes // XXXTENTACION'
2020-08-12 15:40:00.394740    b'changes // XXXTENTACION'
2020-08-12 15:40:01.470301    b'changes // XXXTENTACION'
2020-08-12 15:40:02.570735    b'changes // XXXTENTACION'
2020-08-12 15:40:03.636508    b'changes // XXXTENTACION'
2020-08-12 15:40:04.698301    b'changes // XXXTENTACION'
2020-08-12 15:40:05.753712    b'changes // XXXTENTACION'
2020-08-12 15:40:06.813508    b'changes // XXXTENTACION'
2020-08-12 15:40:07.880573    b'changes // XXXTENTACION'
2020-08-12 15:40:08.946104    b'changes // XXXTENTACION'
2020-08-12 15:40:10.027690    b'Moonlight // XXXTENTACION'
2020-08-12 15:40:11.095383    b'Moonlight // XXXTENTACION'
2020-08-12 15:40:12.169570    b'SAD! // XXXTENTACION'
2020-08-12 15:40:13.229970    b'SAD! // XXXTENTACION'
2020-08-12 15:40:14.291962    b'SAD! // XXXTENTACION'
2020-08-12 15:40:15.355406    b'SAD! // XXXTENTACION'
2020-08-12 15:40:16.424761    b'SAD! // XXXTENTACION'
2020-08-12 15:40:17.497498    b'SAD! // XXXTENTACION'
2020-08-12 15:40:18.559299    b'SAD! // XXXTENTACION'
2020-08-12 15:40:19.632826    b'SAD! // XXXTENTACION'
2020-08-12 15:40:20.719821    b'SAD! // XXXTENTACION'
2020-08-12 15:40:21.786046    b'SAD! // XXXTENTACION'
2020-08-12 15:40:23.327285    b'SAD! // XXXTENTACION'
2020-08-12 15:40:24.405766    b'SAD! // XXXTENTACION'
2020-08-12 15:40:25.511485    b'SAD! // XXXTENTACION'
2020-08-12 15:40:26.572419    b'SAD! // XXXTENTACION'
2020-08-12 15:40:27.642735    b'SAD! // XXXTENTACION'
2020-08-12 15:40:28.712838    b'SAD! // XXXTENTACION'
